skos:notation,skos:prefLabel,nypl:deliverableTo,nypl:requestable,General statement about delivery options,Associated Sierra location,Notes
NH,General Research,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,deliver to any NYPL RL,,Contains: General Research
NQ,General Research,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,deliver to any SASB reading room only,,"Contains:
 - General Research
 - Jewish (Dorot) Collection
 - ""Poor Condition"""
XA,General Research,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,deliver to any NYPL RL,,"Contains:
 - General Research
 - Asian & Middle-Eastern
 - Slavic & Baltic
 - Local History & Genealogy"
XF,,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,deliver to any NYPL RL,,?
XG,ART,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,ART Collection deliver to any NYPL RL,,Contains: Art & Architecture
XH,JWS,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,JWS Collection deliver to any NYPL RL,,Contains: Jewish (Dorot) Collection
XP,MAP,AL;AM,FALSE,MAP Collection delivery to rm 121 & 117 only,,Contains: Map
XS,Photography Collection,AA,FALSE,Photography Collection deliver to rm 300 only,,Contains: Photography
JS,SIBL Serials,AR;AA;AJ;AL;AM;AC;AW;AE;AN,true,SIBL Serials deliver to any NYPL RL,,Contains: SIBL Serials
EM,EDD,,,,,"Presumably associated with maedd, which is not requestable, so there's no functional point linking it"
AR,GRD - room 315,,,,mal,
AA,ART - room 300,,,,mab,
AJ,Dorot - room 111,,,,maf,
AL,LHG - room 121,,,,mag,
AM,MAP - room 117,,,,map,
IL,Interlibrary & Document Services,,,,,"Sierra location presumably staff-only, so no linking necessary"
AC,Cullman Center,,,,malc,
AW,Wertheim Study,,,,malw,
AE,Allen Room,,,,mala,
AN,Noma Schiochi,,,,maln,
AS,room 217 Scholar Hallway,,,,mal17,
AG,MaRLi-To-Go,,,,,"Sierra location presumably staff-only, so no linking necessary"
